"","data_set_name","package_name","function_to_get_data","data_details","data_url","license_url","data_types","location_types","spatial_extent","has_geospatial_info","TRUE.","get_info_passing","refresh_status","last_refresh_update"
"1","covid19nytimes_states","covid19nytimes","refresh_covid19nytimes_states","Open Source data from the New York Times on distribution of confirmed Covid-19 cases and deaths in the US States. For more, see https://www.nytimes.com/article/coronavirus-county-data-us.html or the readme at https://github.com/nytimes/covid-19-data.","https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv","https://github.com/nytimes/covid-19-data/blob/master/LICENSE","cases_total, deaths_total","state","country",FALSE,NA,TRUE,"Passed",2020-07-19 09:21:22
"2","covid19nytimes_counties","covid19nytimes","refresh_covid19nytimes_counties","Open Source data from the New York Times on distribution of confirmed Covid-19 cases and deaths in the US by County. For more, see https://www.nytimes.com/article/coronavirus-county-data-us.html or the readme at https://github.com/nytimes/covid-19-data.","https://raw.githubusercontent.com/nytimes/covid-19-data/master/us-counties.csv","https://github.com/nytimes/covid-19-data/blob/master/LICENSE","cases_total, deaths_total","state","country",FALSE,NA,TRUE,"Passed",2020-07-19 09:21:27
"3","covid19france","covid19france","refresh_covid19france","Open Source data from opencovid19-fr on distribution of confirmed Covid-19 cases and deaths in the US States. For more, see https://github.com/opencovid19-fr/data.","https://raw.githubusercontent.com/opencovid19-fr/data/master/dist/chiffres-cles.csv","https://github.com/opencovid19-fr/data/blob/master/LICENSE","confirmed, dead, icu, hospitalized, recovered, discovered","region, county, country, overseas collectivity","country",FALSE,NA,TRUE,"Passed",2020-07-19 09:21:45
"4","CanadaC19_cases","CanadaC19","refresh_CanadaC19_cases","Open Source data from multiple public reporting data throughout Canada. For more, see https://github.com/ishaberry/Covid19Canada.","https://raw.githubusercontent.com/ishaberry/Covid19Canada/master/cases.csv","https://github.com/debusklaneml/CanadaC19/blob/master/LICENSE","cases_new","state","state",FALSE,NA,TRUE,"Passed",2020-07-19 09:21:47
"5","covid19us","covid19us","refresh_covid19us","Open Source data from COVID Tracking Project on the distribution of Covid-19 cases and deaths in the US. For more, see https://github.com/opencovid19-fr/data.","https://covidtracking.com/api","https://github.com/aedobbyn/covid19us/blob/master/LICENSE.md","positive, negative, pending, hospitalized_currently, hospitalized_cumulative, in_icu_currently, in_icu_cumulative, on_ventilator_currently, on_ventilator_cumulative, recovered, death, hospitalized, total_tests_viral, positive_tests_viral, negative_tests_viral, positive_cases_viral, death_confirmed, death_probable, positive_increase, negative_increase, total, total_test_results, total_test_results_increase, death_increase, hospitalized_increase, negative_regular_score, negative_score, positive_score","state","country",FALSE,NA,TRUE,"Passed",2020-07-19 09:21:52
"6","covid19tunisia","covid19tunisia","refresh_covid19tunisia","Open Source data on distribution of confirmed Covid-19 cases, recovered ones and deaths in Tunisia.
    For more, https://github.com/MounaBelaid/covid19datatunisia","https://raw.githubusercontent.com/MounaBelaid/covid19datatunisia/master/dist/data.csv","https://github.com/MounaBelaid/covid19datatunisia/blob/master/LICENSE","cases_new, deaths_new, recovered_new","state","country",FALSE,NA,TRUE,"Passed",2020-07-19 09:21:52
"7","covid19mobility_apple_country","covid19mobility","refresh_covid19mobility_apple_country","Data reflects relative volume of directions requests compared to a baseline volume on January 13th, 2020 for multiple transportation modes aggregated at the country level.","https://www.apple.com/covid19/mobility","https://www.apple.com/covid19/mobility","driving, walking, transit","country","global",FALSE,NA,TRUE,"Passed",2020-07-19 09:21:54
"8","covid19mobility_apple_subregion","covid19mobility","refresh_covid19mobility_apple_subregion","Data reflects relative volume of directions requests compared to a baseline volume on January 13th, 2020 for multiple transportation modes aggregated at the subregion (state) level.","https://www.apple.com/covid19/mobility","https://www.apple.com/covid19/mobility","driving, walking, transit","state","global",FALSE,NA,TRUE,"Passed",2020-07-19 09:22:03
"9","covid19mobility_apple_city","covid19mobility","refresh_covid19mobility_apple_city","Data reflects relative volume of directions requests compared to a baseline volume on January 13th, 2020 for multiple transportation modes aggregated at the city level.","https://www.apple.com/covid19/mobility","https://www.apple.com/covid19/mobility","driving, walking, transit","city","global",TRUE,NA,TRUE,"Passed",2020-07-19 09:22:10
"10","covid19mobility_google_country","covid19mobility","refresh_covid19mobility_google_country","Changes for each day are compared to a baseline value for that day of the week as compared to  the 5-week period Jan 3-Feb 6, 2020 for visits to places falling in to certain categories.","https://www.google.com/covid19/mobility/","https://www.google.com/covid19/mobility/","retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline","country","global",FALSE,NA,TRUE,"Passed",2020-07-19 09:22:14
"11","covid19mobility_google_subregions","covid19mobility","refresh_covid19mobility_google_subregions","Changes for each day are compared to a baseline value for that day of the week as compared to  the 5-week period Jan 3-Feb 6, 2020 for visits to places falling in to certain categories. Data is aggregated at the state or subdivision level.","https://www.google.com/covid19/mobility/","https://www.google.com/covid19/mobility/","retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline","state","global",FALSE,NA,TRUE,"Passed",2020-07-19 09:22:29
"12","covid19mobility_google_us_counties","covid19mobility","refresh_covid19mobility_google_us_counties","Changes for each day are compared to a baseline value for that day of the week as compared to  the 5-week period Jan 3-Feb 6, 2020 for visits to places falling in to certain categories. Data is aggregated at the county level for the USA only.","https://www.google.com/covid19/mobility/","https://www.google.com/covid19/mobility/","retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline","county","country",FALSE,NA,TRUE,"Passed",2020-07-19 09:22:49
"13","coronavirus_jhu","coronavirus","refresh_coronavirus_jhu*","The 2019 Novel Coronavirus COVID-19 (2019-nCoV) Dataset from the Johns Hopkins University Center for Systems Science and Engineering","https://systems.jhu.edu/research/public-health/ncov/","https://github.com/CSSEGISandData/COVID-19/","cases_new, recovered_new, deaths_new","country, state","global",NA,TRUE,TRUE,"Passed",2020-07-19 09:22:52
