date,location,location_type,location_code,location_code_type,data_type,value
2020-05-29,Alabama,state,01,fips_code,cases_total,17031
2020-05-29,Alabama,state,01,fips_code,deaths_total,610
2020-05-29,Alaska,state,02,fips_code,cases_total,436
2020-05-29,Alaska,state,02,fips_code,deaths_total,8
2020-05-29,Arizona,state,04,fips_code,cases_total,18465
2020-05-29,Arizona,state,04,fips_code,deaths_total,885
2020-05-29,Arkansas,state,05,fips_code,cases_total,6777
2020-05-29,Arkansas,state,05,fips_code,deaths_total,132
2020-05-29,California,state,06,fips_code,cases_total,107043
2020-05-29,California,state,06,fips_code,deaths_total,4144
2020-05-29,Colorado,state,08,fips_code,cases_total,25602
2020-05-29,Colorado,state,08,fips_code,deaths_total,1437
2020-05-29,Connecticut,state,09,fips_code,cases_total,41762
2020-05-29,Connecticut,state,09,fips_code,deaths_total,3868
2020-05-29,Delaware,state,10,fips_code,cases_total,9236
2020-05-29,Delaware,state,10,fips_code,deaths_total,356
2020-05-29,District of Columbia,state,11,fips_code,cases_total,8538
2020-05-29,District of Columbia,state,11,fips_code,deaths_total,460
2020-05-29,Florida,state,12,fips_code,cases_total,54489
2020-05-29,Florida,state,12,fips_code,deaths_total,2412
2020-05-29,Georgia,state,13,fips_code,cases_total,43888
2020-05-29,Georgia,state,13,fips_code,deaths_total,1953
2020-05-29,Guam,state,66,fips_code,cases_total,1141
2020-05-29,Guam,state,66,fips_code,deaths_total,6
2020-05-29,Hawaii,state,15,fips_code,cases_total,639
2020-05-29,Hawaii,state,15,fips_code,deaths_total,17
2020-05-29,Idaho,state,16,fips_code,cases_total,2804
2020-05-29,Idaho,state,16,fips_code,deaths_total,82
2020-05-29,Illinois,state,17,fips_code,cases_total,117794
2020-05-29,Illinois,state,17,fips_code,deaths_total,5308
2020-05-29,Indiana,state,18,fips_code,cases_total,34399
2020-05-29,Indiana,state,18,fips_code,deaths_total,2110
2020-05-29,Iowa,state,19,fips_code,cases_total,19019
2020-05-29,Iowa,state,19,fips_code,deaths_total,525
2020-05-29,Kansas,state,20,fips_code,cases_total,9826
2020-05-29,Kansas,state,20,fips_code,deaths_total,209
2020-05-29,Kentucky,state,21,fips_code,cases_total,9688
2020-05-29,Kentucky,state,21,fips_code,deaths_total,434
2020-05-29,Louisiana,state,22,fips_code,cases_total,38907
2020-05-29,Louisiana,state,22,fips_code,deaths_total,2766
2020-05-29,Maine,state,23,fips_code,cases_total,2226
2020-05-29,Maine,state,23,fips_code,deaths_total,85
2020-05-29,Maryland,state,24,fips_code,cases_total,51631
2020-05-29,Maryland,state,24,fips_code,deaths_total,2466
2020-05-29,Massachusetts,state,25,fips_code,cases_total,95512
2020-05-29,Massachusetts,state,25,fips_code,deaths_total,6718
2020-05-29,Michigan,state,26,fips_code,cases_total,56589
2020-05-29,Michigan,state,26,fips_code,deaths_total,5406
2020-05-29,Minnesota,state,27,fips_code,cases_total,23541
2020-05-29,Minnesota,state,27,fips_code,deaths_total,1006
2020-05-29,Mississippi,state,28,fips_code,cases_total,14790
2020-05-29,Mississippi,state,28,fips_code,deaths_total,710
2020-05-29,Missouri,state,29,fips_code,cases_total,12949
2020-05-29,Missouri,state,29,fips_code,deaths_total,740
2020-05-29,Montana,state,30,fips_code,cases_total,493
2020-05-29,Montana,state,30,fips_code,deaths_total,17
2020-05-29,Nebraska,state,31,fips_code,cases_total,13654
2020-05-29,Nebraska,state,31,fips_code,deaths_total,177
2020-05-29,Nevada,state,32,fips_code,cases_total,8375
2020-05-29,Nevada,state,32,fips_code,deaths_total,415
2020-05-29,New Hampshire,state,33,fips_code,cases_total,4492
2020-05-29,New Hampshire,state,33,fips_code,deaths_total,238
2020-05-29,New Jersey,state,34,fips_code,cases_total,158844
2020-05-29,New Jersey,state,34,fips_code,deaths_total,11531
2020-05-29,New Mexico,state,35,fips_code,cases_total,7493
2020-05-29,New Mexico,state,35,fips_code,deaths_total,344
2020-05-29,New York,state,36,fips_code,cases_total,373108
2020-05-29,New York,state,36,fips_code,deaths_total,29535
2020-05-29,North Carolina,state,37,fips_code,cases_total,26735
2020-05-29,North Carolina,state,37,fips_code,deaths_total,888
2020-05-29,North Dakota,state,38,fips_code,cases_total,2523
2020-05-29,North Dakota,state,38,fips_code,deaths_total,62
2020-05-29,Northern Mariana Islands,state,69,fips_code,cases_total,22
