date,location,location_type,location_code,location_code_type,data_type,value
2020-05-13,AK,state,02,fips_code,positive,383
2020-05-13,AK,state,02,fips_code,negative,30266
2020-05-13,AK,state,02,fips_code,pending,NA
2020-05-13,AK,state,02,fips_code,hospitalized_currently,12
2020-05-13,AK,state,02,fips_code,hospitalized_cumulative,NA
2020-05-13,AK,state,02,fips_code,in_icu_currently,NA
2020-05-13,AK,state,02,fips_code,in_icu_cumulative,NA
2020-05-13,AK,state,02,fips_code,on_ventilator_currently,NA
2020-05-13,AK,state,02,fips_code,on_ventilator_cumulative,NA
2020-05-13,AK,state,02,fips_code,recovered,338
2020-05-13,AK,state,02,fips_code,death,10
2020-05-13,AK,state,02,fips_code,hospitalized,NA
2020-05-13,AK,state,02,fips_code,total,30649
2020-05-13,AK,state,02,fips_code,total_test_results,30649
2020-05-13,AK,state,02,fips_code,death_increase,0
2020-05-13,AK,state,02,fips_code,hospitalized_increase,0
2020-05-13,AK,state,02,fips_code,negative_increase,688
2020-05-13,AK,state,02,fips_code,positive_increase,0
2020-05-13,AK,state,02,fips_code,total_test_results_increase,688
2020-05-13,AL,state,01,fips_code,positive,10617
2020-05-13,AL,state,01,fips_code,negative,125755
2020-05-13,AL,state,01,fips_code,pending,NA
2020-05-13,AL,state,01,fips_code,hospitalized_currently,NA
2020-05-13,AL,state,01,fips_code,hospitalized_cumulative,1317
2020-05-13,AL,state,01,fips_code,in_icu_currently,NA
2020-05-13,AL,state,01,fips_code,in_icu_cumulative,477
2020-05-13,AL,state,01,fips_code,on_ventilator_currently,NA
2020-05-13,AL,state,01,fips_code,on_ventilator_cumulative,284
2020-05-13,AL,state,01,fips_code,recovered,NA
2020-05-13,AL,state,01,fips_code,death,449
2020-05-13,AL,state,01,fips_code,hospitalized,1317
2020-05-13,AL,state,01,fips_code,total,136372
2020-05-13,AL,state,01,fips_code,total_test_results,136372
2020-05-13,AL,state,01,fips_code,death_increase,20
2020-05-13,AL,state,01,fips_code,hospitalized_increase,30
2020-05-13,AL,state,01,fips_code,negative_increase,2847
2020-05-13,AL,state,01,fips_code,positive_increase,307
2020-05-13,AL,state,01,fips_code,total_test_results_increase,3154
2020-05-13,AR,state,05,fips_code,positive,4164
2020-05-13,AR,state,05,fips_code,negative,69051
2020-05-13,AR,state,05,fips_code,pending,NA
2020-05-13,AR,state,05,fips_code,hospitalized_currently,59
2020-05-13,AR,state,05,fips_code,hospitalized_cumulative,497
2020-05-13,AR,state,05,fips_code,in_icu_currently,NA
2020-05-13,AR,state,05,fips_code,in_icu_cumulative,NA
2020-05-13,AR,state,05,fips_code,on_ventilator_currently,12
2020-05-13,AR,state,05,fips_code,on_ventilator_cumulative,99
2020-05-13,AR,state,05,fips_code,recovered,3220
2020-05-13,AR,state,05,fips_code,death,95
2020-05-13,AR,state,05,fips_code,hospitalized,497
2020-05-13,AR,state,05,fips_code,total,73215
2020-05-13,AR,state,05,fips_code,total_test_results,73215
2020-05-13,AR,state,05,fips_code,death_increase,0
