date,location,location_type,location_standardized,location_standardized_type,data_type,value
2020-01-21,Washington,state,53,fips_code,cases_total,1
2020-01-21,Washington,state,53,fips_code,deaths_total,0
2020-01-22,Washington,state,53,fips_code,cases_total,1
2020-01-22,Washington,state,53,fips_code,deaths_total,0
2020-01-23,Washington,state,53,fips_code,cases_total,1
2020-01-23,Washington,state,53,fips_code,deaths_total,0
2020-01-24,Illinois,state,17,fips_code,cases_total,1
2020-01-24,Illinois,state,17,fips_code,deaths_total,0
2020-01-24,Washington,state,53,fips_code,cases_total,1
2020-01-24,Washington,state,53,fips_code,deaths_total,0
2020-01-25,California,state,06,fips_code,cases_total,1
2020-01-25,California,state,06,fips_code,deaths_total,0
2020-01-25,Illinois,state,17,fips_code,cases_total,1
2020-01-25,Illinois,state,17,fips_code,deaths_total,0
2020-01-25,Washington,state,53,fips_code,cases_total,1
2020-01-25,Washington,state,53,fips_code,deaths_total,0
2020-01-26,Arizona,state,04,fips_code,cases_total,1
2020-01-26,Arizona,state,04,fips_code,deaths_total,0
2020-01-26,California,state,06,fips_code,cases_total,2
2020-01-26,California,state,06,fips_code,deaths_total,0
2020-01-26,Illinois,state,17,fips_code,cases_total,1
2020-01-26,Illinois,state,17,fips_code,deaths_total,0
2020-01-26,Washington,state,53,fips_code,cases_total,1
2020-01-26,Washington,state,53,fips_code,deaths_total,0
2020-01-27,Arizona,state,04,fips_code,cases_total,1
2020-01-27,Arizona,state,04,fips_code,deaths_total,0
2020-01-27,California,state,06,fips_code,cases_total,2
2020-01-27,California,state,06,fips_code,deaths_total,0
2020-01-27,Illinois,state,17,fips_code,cases_total,1
2020-01-27,Illinois,state,17,fips_code,deaths_total,0
2020-01-27,Washington,state,53,fips_code,cases_total,1
2020-01-27,Washington,state,53,fips_code,deaths_total,0
2020-01-28,Arizona,state,04,fips_code,cases_total,1
2020-01-28,Arizona,state,04,fips_code,deaths_total,0
2020-01-28,California,state,06,fips_code,cases_total,2
2020-01-28,California,state,06,fips_code,deaths_total,0
2020-01-28,Illinois,state,17,fips_code,cases_total,1
2020-01-28,Illinois,state,17,fips_code,deaths_total,0
2020-01-28,Washington,state,53,fips_code,cases_total,1
